event_name,date,artist_name,support_act,average_price,tickets_sold,tickets_available,revenue,genre,capacity,venue_name,venue_city,venue_state,venue_country
Minus Tour,2023-03-24,Ed Sheeran,Cian Ducrot,107.22988920667537,36013,36456,"$3,861,670","pop, singer-songwriter pop, uk pop",36456,The O2 Arena,London,England,England
Minus Tour,2023-03-25,Ed Sheeran,Cian Ducrot,107.22988920667537,36013,36456,"$3,861,670","pop, singer-songwriter pop, uk pop",36456,The O2 Arena,London,England,England
Minus Tour,2023-03-27,Ed Sheeran,,107.14004376367615,2742,2742,"$293,778","pop, singer-songwriter pop, uk pop",2742,Eventim Apollo,London,England,England
Minus Tour,2023-03-28,Ed Sheeran,,107.8498705082551,12356,14049,"$1,332,593","pop, singer-songwriter pop, uk pop",14049,OVO Hydro,Glasgow,Scotland,Scotland
Minus Tour,2023-03-30,Ed Sheeran,,108.1695322180917,12912,12991,"$1,396,685","pop, singer-songwriter pop, uk pop",12991,3Arena,Dublin,Leinster,Ireland
Minus Tour,2023-04-02,Ed Sheeran,Cian Ducrot,106.13224682756905,16076,16106,"$1,706,182","pop, singer-songwriter pop, uk pop",16106,Accor Arena,Paris,Île-de-France,France
Minus Tour,2023-04-10,Ed Sheeran,Ed Sheeran,108.55600814663951,2946,3055,"$319,806","pop, singer-songwriter pop, uk pop",3055,Kings Theatre,Brooklyn,New York,United States
Minus Tour,2023-04-17,Ed Sheeran,,109.76241357636707,1591,1595,"$174,632","pop, singer-songwriter pop, uk pop",1595,Admiralspalast,Berlin,Berlin,Germany
Minus Tour,2023-05-19,Ed Sheeran,Ben Kweller,113.0,2101,2101,"$237,413","pop, singer-songwriter pop, uk pop",2101,Ruth Eckerd Hall,Clearwater,Florida,United States
Minus Tour,2023-07-21,Ed Sheeran,Ben Kweller,109.05956112852665,2233,2233,"$243,530","pop, singer-songwriter pop, uk pop",2233,Ryman Auditorium,Nashville,Tennessee,United States
Minus Tour,2023-07-28,Ed Sheeran,Ben Kweller,94.16436813960034,3553,3553,"$334,566","pop, singer-songwriter pop, uk pop",3553,Chicago Theatre,Chicago,Illinois,United States
Minus Tour,2023-08-25,Ed Sheeran,Brandy Clark,105.33900760593988,2761,2761,"$290,841","pop, singer-songwriter pop, uk pop",2761,Paramount Theatre,Seattle,Washington,United States
